1054,321,1
654,876,1
586,-231,1
-312,627,1
-46,-735,1
-29,0,0
1532,-82,1
-18,0,0
52,0,0
-37,-347,1
811,183,1
524,402,1
143,0,0
206,617,1
472,569,1
-432,-192,1
-71,-506,1
141,0,0
630,-340,1
-248,-786,1
-716,-194,1
-40,0,0
-809,-286,1
600,185,1
-291,-21,1
199,-4,1
110,2,1
8,1504,1
214,-809,1
241,0,0
-172,-84,1
-422,391,1
622,-265,1
-485,442,1
-465,563,1
614,0,1
-498,66,1
784,-44,1
-129,0,0
-236,0,0
177,0,0
-268,-1164,1
422,317,1
278,0,0
-136,0,0
315,923,1
695,-1665,1
539,-99,1
-258,103,1
-123,0,0
197,0,0
115,0,0
63,0,0
-148,0,0
-685,-93,1
-248,42,1
-900,1300,1
578,-428,1
131,852,1
127,377,1
-50,-215,1
312,-287,1
101,927,1
-103,-772,1
31,0,0
-169,0,0
437,741,1
-6,0,0
390,-584,1
-28,0,0
193,0,0
18,-863,1
-268,0,0
491,3,1
-279,-951,1
866,-412,1
261,0,0
-44,-590,1
-73,453,1
-231,1070,1
53,242,1
-166,-378,1
1052,-191,1
-737,-88,1
-310,0,1
41,0,0
-284,495,1
64,236,1
243,209,1
822,215,1
549,-591,1
-176,0,0
381,815,1
-69,0,0
-43,0,0
-505,-874,1
-378,-918,1
-184,-32,1
27,0,0
-200,0,0
274,0,0
-53,0,0
34,-614,1
-708,31,1
-16,0,0
-72,-688,1
79,0,0
-188,82,1
25,0,0
853,576,1
14,0,0
166,-341,1
398,54,1
184,0,0
106,0,0
21,548,1
1190,-516,1
-1112,391,1
-162,-184,1
44,0,0
40,0,0
299,-297,1
-41,0,0
-352,268,1
-8,400,1
944,-631,1
1525,-439,1
-49,0,0
-993,-186,1
-184,73,1
20,-30,1
-166,787,1
-212,937,1
-353,510,1
-44,-245,1
-85,0,0
728,419,1
71,0,0
-330,-969,1
-132,86,1
403,-542,1
-233,364,1
979,228,1
-155,0,0
-154,0,0
452,-748,1
227,0,0
42,0,0
-862,477,1
-8,518,1
420,-572,1
-260,-473,1
8,0,0
137,-252,1
-365,-560,1
122,0,0
851,-495,1
43,0,0
440,-600,1
-349,231,1
-231,283,1
-874,838,1
-1123,198,1
-194,-23,1
-10,-555,1
239,-298,1
459,695,1
-787,-222,1
-253,-333,1
-20,0,0
-329,-929,1
391,-582,1
375,-632,1
199,0,0
-1168,-661,1
-100,0,0
596,165,1
112,-482,1
-660,-33,1
-390,666,1
-23,472,1
-615,840,1
-40,0,0
-116,-171,1
921,104,1
-331,449,1
-45,0,0
160,0,0
-150,0,0
53,0,0
-394,0,0
-232,0,0
-537,-820,1
143,-432,1
693,-236,1
-58,0,0
-539,48,1
203,0,0
-43,-341,1
-523,534,1
257,-607,1
-677,-118,1
58,0,0
153,0,0
-308,358,1
71,0,0
636,-1328,1
-639,-281,1
29,0,0
-144,150,1
-349,235,1
-21,395,1
1208,1429,1
159,0,0
43,368,1
-212,-334,1
557,792,1
-177,-214,1
-108,38,1
632,-91,1
154,-1044,1
-1064,81,1
-68,1223,1
-142,166,1
-72,548,1
-683,-131,1
78,0,0
-1296,155,1
424,1062,1
265,-190,1
-992,-259,1
496,4,1
152,-178,1
96,0,0
-591,450,1
-22,143,1
-540,705,1
-126,-122,1
283,-270,1
279,-215,1
-1175,243,1
-976,-451,1
-504,964,1
931,41,1
48,-342,1
103,0,0
154,-364,1
-90,-85,1
972,-472,1
-30,-60,1
-279,309,1
-175,622,1
833,443,1
-738,-24,1
80,-123,1
141,0,0
-70,0,0
-270,0,0
13,281,1
1305,29,1
77,-887,1
723,-461,1
-57,0,0
-89,438,1
-823,446,1
45,-44,1
135,0,0
-1481,-474,1
-46,149,1
-266,0,0
-39,0,0
612,-444,1
-475,262,1
-357,-285,1
-976,-354,1
364,-698,1
403,29,1
-241,101,1
253,0,0
-179,-122,1
226,-351,1
-6,165,1
-132,0,0
-27,0,0
137,821,1
174,276,1
-184,628,1
282,347,1
-378,-357,1
857,-1250,1
-36,0,0
-104,0,0
-145,0,0
-30,1007,1
-1016,-845,1
-344,280,1
-752,313,1
-105,0,0
-735,480,1
40,289,1
273,0,0
-266,0,0
-348,460,1
-934,-118,1
217,388,1
-615,132,1
1220,1087,1
933,-258,1
777,60,1
-82,0,0
83,-232,1
95,0,0
-742,-1196,1
94,0,0
-739,483,1
-68,-644,1
395,0,0
454,114,1
494,-328,1
305,-1338,1
-69,181,1
890,-1050,1
-25,-336,1
-92,0,0
89,0,0
440,-594,1
-884,933,1
479,588,1
-178,0,0
397,-637,1
196,0,0
26,-59,1
-63,502,1
-371,0,0
-554,413,1
-61,133,1
-21,-536,1
235,466,1
424,-381,1
-19,756,1
-157,0,0
2,0,0
-758,-198,1
151,0,0
-300,-75,1
