N,W_IN,W_FB,AUC
30,0.200000,0.400000,0.667
30,0.200000,0.500000,0.571
30,0.200000,0.600000,0.513
30,0.200000,0.700000,0.494
30,0.200000,0.800000,0.516
30,0.200000,0.900000,0.534
30,0.300000,0.100000,0.797
30,0.300000,0.200000,0.779
30,0.300000,0.300000,0.746
30,0.300000,0.400000,0.662
30,0.300000,0.500000,0.608
30,0.300000,0.600000,0.479
30,0.300000,0.700000,0.507
30,0.300000,0.800000,0.513
30,0.300000,0.900000,0.531
30,0.400000,0.100000,0.795
30,0.400000,0.200000,0.774
30,0.400000,0.300000,0.745
30,0.400000,0.400000,0.660
30,0.400000,0.500000,0.622
30,0.400000,0.600000,0.506
30,0.400000,0.700000,0.496
30,0.400000,0.800000,0.531
30,0.400000,0.900000,0.546
30,0.500000,0.100000,0.791
30,0.500000,0.200000,0.775
30,0.500000,0.300000,0.747
30,0.500000,0.400000,0.662
30,0.500000,0.500000,0.631
30,0.500000,0.600000,0.494
30,0.500000,0.700000,0.500
30,0.500000,0.800000,0.523
30,0.500000,0.900000,0.559
30,0.600000,0.100000,0.791
30,0.600000,0.200000,0.777
30,0.600000,0.300000,0.748
30,0.600000,0.400000,0.663
30,0.600000,0.500000,0.640
30,0.600000,0.600000,0.483
30,0.600000,0.700000,0.492
30,0.600000,0.800000,0.549
30,0.600000,0.900000,0.535
30,0.700000,0.100000,0.796
30,0.700000,0.200000,0.776
30,0.700000,0.300000,0.747
30,0.700000,0.400000,0.665
30,0.700000,0.500000,0.644
30,0.700000,0.600000,0.505
30,0.700000,0.700000,0.487
30,0.700000,0.800000,0.532
30,0.700000,0.900000,0.556
30,0.800000,0.100000,0.794
30,0.800000,0.200000,0.778
30,0.800000,0.300000,0.744
30,0.800000,0.400000,0.666
30,0.800000,0.500000,0.636
30,0.800000,0.600000,0.496
30,0.800000,0.700000,0.492
30,0.800000,0.800000,0.533
30,0.800000,0.900000,0.565
30,0.900000,0.100000,0.788
30,0.900000,0.200000,0.779
30,0.900000,0.300000,0.745
30,0.900000,0.400000,0.666
30,0.900000,0.500000,0.628
30,0.900000,0.600000,0.489
