27,29,1
-17,-56,1
-9,15,1
22,7,1
0,-12,1
-2,0,0
-47,7,1
-10,0,0
0,0,0
37,-18,1
-17,-3,1
-20,22,1
-5,0,0
-27,18,1
-4,50,1
18,-23,1
-26,-25,1
-16,0,0
4,6,1
-1,12,1
-21,4,1
-5,0,0
7,16,1
9,9,1
29,-1,1
7,2,1
-13,-5,1
-34,6,1
-16,-5,1
14,0,0
-5,-22,1
15,18,1
19,-24,1
-33,31,1
5,4,1
-25,32,1
59,-6,1
9,0,1
13,0,0
12,0,0
4,0,0
-22,-8,1
-13,19,1
7,0,0
-8,0,0
-15,1,1
-35,9,1
6,-8,1
20,-19,1
-6,0,0
-10,0,0
-9,0,0
-16,0,0
26,0,0
-25,-14,1
-3,-2,1
4,-20,1
2,7,1
-28,-4,1
2,15,1
-19,23,1
-38,39,1
1,14,1
6,-39,1
7,0,0
11,0,0
29,-11,1
9,0,0
21,-13,1
-1,0,0
10,0,0
8,6,1
31,0,0
4,-13,1
-30,0,1
1,-1,1
-19,0,0
6,-14,1
24,-26,1
-6,34,1
-12,3,1
-23,8,1
-10,30,1
1,-27,1
11,6,1
-19,0,0
-6,-30,1
10,1,1
28,24,1
0,-5,1
-4,32,1
-5,0,0
-24,-8,1
14,0,0
3,0,0
33,-6,1
10,8,1
12,-25,1
1,0,0
5,0,0
-1,0,0
-6,0,0
9,-37,1
15,4,1
-5,0,0
-3,-1,1
-10,0,0
-1,7,1
-2,0,0
42,21,1
10,0,0
23,-53,1
-31,-18,1
-6,0,0
-6,0,0
-4,-1,1
-12,-12,1
-37,-1,1
-24,16,1
8,0,0
13,0,0
-1,-4,1
-3,0,0
-5,-19,1
-5,15,1
-23,15,1
-30,-15,1
-14,0,0
2,23,1
33,-2,1
2,4,1
2,26,1
0,-3,1
-13,-20,1
-20,15,1
0,0,0
-29,-8,1
-3,0,0
29,-14,1
10,23,1
-44,4,1
-1,0,1
-25,-51,1
-19,0,0
-13,0,0
-4,15,1
-5,0,0
2,0,0
-1,13,1
0,24,1
-12,-3,1
34,0,1
2,0,0
-18,7,1
-9,8,1
-11,0,0
-3,28,1
-9,0,0
45,-10,1
4,-27,1
5,3,1
-32,17,1
-10,-28,1
-12,-17,1
39,-33,1
-12,10,1
-5,13,1
7,15,1
-25,12,1
18,0,0
-41,-6,1
-23,18,1
9,-21,1
-12,0,0
28,-10,1
19,0,0
-16,-44,1
-7,22,1
-22,9,1
-5,0,1
-17,13,1
12,15,1
16,0,0
-3,11,1
-21,-9,1
36,-14,1
28,0,0
-24,0,0
4,0,0
7,0,0
0,0,0
-5,0,0
-20,-4,1
-39,11,1
-26,-4,1
6,0,0
33,-47,1
-15,0,0
0,0,1
4,-15,1
-1,-27,1
-19,-22,1
1,0,0
-18,0,0
12,4,1
4,0,0
11,38,1
-5,-8,1
2,0,0
17,22,1
12,11,1
4,11,1
0,-9,1
19,0,0
-16,-28,1
-14,10,1
-17,13,1
33,27,1
-3,9,1
3,-13,1
-15,-4,1
-3,-4,1
-38,14,1
-35,2,1
31,-14,1
1,7,1
-8,0,0
30,-5,1
64,30,1
49,-21,1
-33,-8,1
27,32,1
7,-15,1
-16,0,0
-15,4,1
-30,16,1
-24,14,1
-4,-19,1
-23,19,1
-22,7,1
3,-12,1
7,16,1
14,30,1
-12,15,1
50,7,1
-17,0,0
-5,12,1
-30,8,1
-12,-2,1
29,-15,1
-17,12,1
-5,-23,1
0,19,1
-16,15,1
2,9,1
0,0,0
-6,0,0
2,0,0
13,-29,1
12,-27,1
-1,-27,1
10,-25,1
-18,0,0
6,-11,1
-7,30,1
-5,11,1
19,0,0
1,-11,1
1,-18,1
-1,0,0
14,0,0
26,-15,1
11,-14,1
0,0,1
-11,-19,1
31,9,1
-3,26,1
8,14,1
-11,0,0
5,11,1
7,1,1
-19,-35,1
-10,0,0
-16,0,0
-31,-13,1
-17,28,1
11,7,1
3,-2,1
6,17,1
22,23,1
-3,0,0
-14,0,0
0,0,0
17,6,1
-7,-2,1
-25,0,1
-14,-14,1
-2,0,0
21,-7,1
-16,-57,1
5,0,0
25,0,0
6,23,1
1,7,1
-27,-42,1
-13,-12,1
-23,-2,1
-22,0,1
18,-33,1
20,0,0
-13,-18,1
-11,0,0
-37,9,1
18,0,0
-33,-31,1
20,-7,1
-13,0,0
5,-22,1
4,3,1
-33,-43,1
-1,-18,1
-14,-4,1
25,-21,1
13,0,0
28,0,0
-19,-1,1
7,-7,1
12,7,1
-5,0,0
-25,-9,1
-11,0,0
6,-7,1
-14,-4,1
12,0,0
8,4,1
-32,-4,1
-15,-3,1
3,20,1
4,-23,1
-13,26,1
-5,0,0
-11,0,0
36,0,1
1,0,0
15,-12,1
9,-28,1
23,0,0
12,12,1
-3,-25,1
-17,8,1
13,2,1
44,29,1
-3,-36,1
-21,12,1
4,1,1
0,0,0
-15,9,1
-19,0,0
8,0,0
23,-2,1
7,-9,1
-5,19,1
9,0,0
-12,11,1
21,-32,1
0,0,0
-18,14,1
-11,0,0
3,0,0
14,-24,1
22,-16,1
24,0,0
18,0,0
15,0,0
-3,5,1
-1,0,0
-15,0,0
-1,-10,1
0,-1,1
-12,-18,1
21,0,0
-22,-5,1
17,0,0
-21,0,0
-3,-4,1
-10,18,1
25,1,1
9,0,0
11,7,1
-3,1,1
10,0,0
18,-23,1
-10,-9,1
-28,-12,1
-26,0,0
18,-1,1
-17,-7,1
2,-17,1
24,-4,1
8,0,0
22,0,0
-34,6,1
18,0,0
6,15,1
0,-14,1
14,-11,1
3,0,0
-18,-30,1
4,0,0
-4,-8,1
-10,0,0
-22,0,0
-19,10,1
13,47,1
8,11,1
-5,0,0
9,20,1
8,0,0
-47,22,1
-11,24,1
7,21,1
29,-21,1
-57,9,1
17,-55,1
5,0,0
-20,0,0
-1,0,0
7,0,0
7,0,0
22,0,0
2,0,0
-7,0,0
3,-7,1
-1,47,1
-8,2,1
-6,0,0
0,-2,1
3,-4,1
-11,0,0
-23,6,1
-9,14,1
4,-11,1
2,-17,1
-10,0,0
-8,0,0
20,0,0
-10,-32,1
-11,20,1
4,12,1
-10,-1,1
7,0,0
-2,0,0
-25,0,0
30,6,1
-33,1,1
3,-14,1
-3,-6,1
22,0,0
-22,17,1
0,-12,1
24,-12,1
16,0,0
-10,-4,1
7,-8,1
0,0,0
-35,14,1
-6,0,0
27,0,0
13,13,1
14,-43,1
8,-22,1
-24,0,0
-41,42,1
1,-8,1
0,0,0
13,0,0
14,22,1
18,54,1
11,0,0
16,0,0
12,0,0
9,0,0
-13,-29,1
3,3,1
0,0,0
-31,-3,1
24,0,0
-4,-19,1
0,0,0
-3,-10,1
3,0,0
-1,4,1
7,0,0
-10,0,0
17,-22,1
26,17,1
-42,-34,1
6,0,0
4,-48,1
-14,-11,1
3,1,1
4,20,1
13,4,1
17,0,0
-16,2,1
-4,1,1
17,0,1
25,0,0
-1,0,0
0,-41,1
-9,-33,1
-16,0,0
24,0,0
0,0,0
21,-13,1
6,-15,1
4,0,0
8,0,0
16,18,1
5,12,1
-15,0,0
1,0,0
11,0,0
19,2,1
55,-3,1
17,0,0
8,0,0
-35,0,0
-4,0,0
-26,22,1
-7,-15,1
11,-27,1
-19,0,0
-2,0,0
-39,2,1
-8,24,1
2,25,1
-18,55,1
2,-17,1
7,0,0
-29,-5,1
-20,22,1
-8,-8,1
9,21,1
-4,0,0
-1,-8,1
6,-20,1
5,17,1
-20,0,0
22,-2,1
-31,16,1
-13,0,0
19,0,0
4,0,0
4,-47,1
-6,9,1
-13,0,0
-18,9,1
-14,0,0
9,0,0
-5,-6,1
10,43,1
18,8,1
50,2,1
-24,23,1
2,0,0
-21,0,0
-12,-18,1
-9,-42,1
10,0,0
-19,13,1
-21,11,1
3,0,0
-19,0,0
-9,0,0
0,-11,1
-13,0,0
-14,-14,1
4,0,0
-1,0,0
11,0,0
-22,0,0
24,-54,1
17,-1,1
16,32,1
0,0,0
5,0,0
-11,0,0
13,0,0
25,0,0
-2,0,0
3,12,1
-11,0,0
26,2,1
-8,0,0
42,-29,1
-5,0,0
0,0,0
-15,6,1
3,0,0
19,0,0
1,-26,1
-5,0,0
-3,0,0
-27,-3,1
-10,0,0
-15,-29,1
-4,0,0
23,7,1
1,0,0
-4,0,0
-12,11,1
-9,-5,1
28,16,1
-19,0,0
-21,-3,1
-17,-20,1
1,12,1
15,-6,1
0,13,1
-7,18,1
14,4,1
11,-1,1
-3,0,0
3,0,0
0,-9,1
-8,5,1
13,-2,1
-23,0,0
28,13,1
-4,48,1
0,9,1
4,0,0
-1,0,0
-12,-15,1
-3,0,0
9,2,1
-4,0,0
34,20,1
-21,-23,1
0,42,1
16,0,0
-8,23,1
0,-5,1
0,1,1
-12,0,0
11,23,1
-12,-22,1
0,0,0
-25,44,1
-14,-5,1
1,0,0
12,0,0
6,27,1
37,24,1
0,-21,1
17,0,1
-2,-9,1
10,0,0
-15,0,0
-2,0,0
-18,19,1
-13,5,1
2,-19,1
12,-22,1
-10,20,1
-23,33,1
-13,0,0
-10,0,0
1,3,1
15,18,1
-8,0,0
-43,0,0
-3,-35,1
-11,-18,1
14,0,0
10,0,0
17,2,1
-3,0,0
10,0,0
-10,0,0
5,-1,1
-15,24,1
30,-15,1
1,0,0
-21,10,1
48,5,1
-33,-10,1
-33,13,1
19,0,0
22,-20,1
12,-6,1
30,-5,1
5,14,1
4,28,1
-3,8,1
25,-49,1
-3,-3,1
6,0,0
17,21,1
5,0,0
1,9,1
-12,-10,1
9,-32,1
-55,-21,1
19,0,0
19,-16,1
-18,0,0
4,-22,1
8,2,1
30,15,1
-8,0,0
-1,-20,1
0,2,1
-36,-15,1
27,-17,1
-11,19,1
-3,20,1
-29,21,1
-20,-20,1
5,-2,1
-13,0,0
1,-16,1
31,0,0
5,-17,1
-36,0,1
-13,17,1
5,12,1
19,-3,1
-16,-2,1
20,-18,1
35,-11,1
-15,0,0
-7,0,0
20,-16,1
0,3,1
-9,8,1
-4,0,0
13,43,1
-9,-3,1
13,-33,1
6,14,1
-6,-20,1
-8,31,1
-19,0,0
4,0,0
-32,-3,1
21,-29,1
-32,14,1
-1,5,1
-3,0,0
-31,-45,1
2,11,1
-23,7,1
-5,13,1
-16,0,0
2,-4,1
9,-6,1
-15,-7,1
14,-14,1
-5,12,1
-1,-16,1
-8,12,1
17,2,1
28,-1,1
5,12,1
1,29,1
-19,11,1
-10,7,1
-28,-23,1
-8,-24,1
23,4,1
16,-12,1
-2,8,1
22,-33,1
-8,-37,1
3,-1,1
-18,12,1
-20,9,1
19,-18,1
-16,-7,1
16,10,1
50,6,1
-17,-5,1
-25,0,0
7,18,1
-17,-16,1
-28,-14,1
2,0,0
25,-5,1
-4,-12,1
-23,-9,1
7,0,0
19,0,0
10,28,1
3,-34,1
4,15,1
11,-8,1
-6,0,0
9,0,1
2,7,1
10,16,1
9,0,0
14,3,1
-2,-17,1
17,-53,1
7,0,0
0,-19,1
-11,-9,1
-5,8,1
-26,7,1
-36,2,1
16,-20,1
0,0,1
-1,14,1
-2,18,1
19,18,1
-28,-35,1
23,0,0
-1,15,1
-7,-7,1
-53,0,1
-12,21,1
8,22,1
-7,43,1
-1,0,1
9,23,1
-29,20,1
9,0,0
21,10,1
19,-4,1
2,23,1
14,-23,1
1,35,1
-13,37,1
-10,-1,1
17,-36,1
9,10,1
-27,-9,1
-5,5,1
24,5,1
10,12,1
-7,10,1
1,4,1
-11,0,0
23,-5,1
25,-18,1
-4,-18,1
32,-33,1
-16,-4,1
31,1,1
3,-19,1
-6,20,1
-14,4,1
-6,-36,1
-10,7,1
7,24,1
-12,-1,1
0,0,0
-8,-24,1
4,0,0
10,-8,1
-25,-7,1
-38,-40,1
-4,29,1
8,-2,1
7,30,1
-28,-2,1
-23,-9,1
-35,2,1
-12,0,0
14,2,1
-13,7,1
32,-14,1
14,-30,1
16,-11,1
0,0,0
8,16,1
-4,-14,1
-24,-5,1
17,0,1
17,-25,1
-29,26,1
5,0,0
-30,-11,1
1,22,1
-2,0,0
5,0,0
0,-8,1
-2,-20,1
-3,0,0
3,10,1
-12,34,1
-4,0,0
-23,-24,1
-2,14,1
-2,11,1
23,40,1
11,-8,1
-18,-7,1
-26,58,1
5,1,1
7,0,0
3,-12,1
-16,12,1
-2,-27,1
-15,0,0
-12,5,1
25,-17,1
56,-24,1
-6,12,1
22,0,0
12,-18,1
5,27,1
2,-11,1
-1,-12,1
-27,34,1
0,-2,1
10,0,0
27,-24,1
-7,0,0
-12,-32,1
-14,0,0
-12,26,1
-8,-7,1
-9,-7,1
-16,14,1
0,11,1
-18,24,1
2,-2,1
11,0,0
-11,-9,1
-19,0,0
-39,5,1
3,5,1
17,-21,1
-5,-19,1
3,0,0
-10,0,0
-2,-14,1
-3,-7,1
-12,-2,1
21,0,1
1,28,1
32,14,1
-6,16,1
24,-10,1
-22,0,1
-4,-14,1
-7,0,0
-2,0,0
-11,0,0
-14,0,0
42,-16,1
21,10,1
-8,-20,1
17,26,1
-10,-9,1
7,0,0
-11,-22,1
-22,-20,1
15,-7,1
8,-6,1
20,0,0
43,8,1
33,1,1
-18,0,0
-10,0,1
4,-35,1
-10,0,0
1,-7,1
-28,14,1
23,-20,1
-41,1,1
10,-6,1
-22,4,1
-9,11,1
-2,0,0
-15,1,1
20,-30,1
31,-17,1
-27,9,1
-7,-15,1
-15,13,1
-22,5,1
0,-23,1
-18,0,0
13,-2,1
12,-1,1
8,8,1
-2,0,0
27,0,0
9,6,1
9,-13,1
-29,15,1
-15,24,1
4,-31,1
-6,24,1
-36,-24,1
8,-19,1
-11,-29,1
-14,-20,1
-21,-2,1
-4,8,1
-5,-20,1
-5,-11,1
-49,-9,1
-3,0,0
-21,9,1
6,0,0
-9,0,0
-6,0,1
-37,-5,1
15,-22,1
14,-1,1
10,0,1
-1,11,1
7,0,0
-18,2,1
-15,4,1
-16,0,0
-15,-5,1
15,5,1
3,0,0
-25,-33,1
20,1,1
-4,-24,1
-57,41,1
22,-26,1
0,32,1
1,4,1
-30,0,1
-6,26,1
-23,3,1
-11,26,1
2,-37,1
10,-17,1
-12,-17,1
-9,-1,1
-3,-54,1
17,22,1
6,26,1
-6,12,1
-13,0,1
14,-10,1
-11,0,0
7,-20,1
-24,0,0
-2,0,0
-17,9,1
26,0,1
3,0,1
12,13,1
29,15,1
0,0,0
-12,0,0
-40,-7,1
-4,-12,1
-10,0,0
-20,-1,1
0,11,1
-21,-53,1
-5,0,0
-2,0,0
-24,-33,1
-4,19,1
-28,10,1
-53,14,1
-8,16,1
0,20,1
5,25,1
-6,-31,1
2,20,1
-3,19,1
-24,-21,1
-3,-7,1
26,-14,1
7,-2,1
5,0,0
-7,-23,1
8,37,1
19,-2,1
-14,-6,1
3,39,1
-4,25,1
0,-4,1
0,-1,1
-21,0,0
19,24,1
-8,0,0
28,-10,1
9,7,1
27,0,0
-9,-19,1
-8,0,0
-30,-5,1
-36,-21,1
19,28,1
15,-11,1
3,25,1
-49,15,1
3,0,1
11,0,1
6,11,1
-18,-21,1
12,-3,1
3,0,0
38,2,1
0,26,1
11,47,1
-1,0,0
1,33,1
14,0,1
-6,0,0
23,0,0
-4,20,1
1,14,1
6,19,1
2,0,0
20,13,1
23,9,1
-6,-3,1
-25,38,1
-18,45,1
0,-10,1
26,-24,1
-17,-17,1
3,0,0
12,14,1
-33,10,1
1,-2,1
38,-6,1
-8,15,1
9,27,1
19,-10,1
-7,9,1
9,0,1
-13,-10,1
29,13,1
2,0,0
6,-41,1
-4,0,0
1,-2,1
1,-35,1
5,0,0
-25,16,1
-15,-6,1
-4,0,0
5,13,1
-16,39,1
8,-15,1
-25,-13,1
2,-20,1
10,-28,1
-18,41,1
20,-15,1
-22,0,0
6,15,1
-4,-4,1
-19,0,1
14,0,0
-27,-1,1
11,4,1
19,0,0
5,-23,1
26,19,1
6,0,1
35,-23,1
23,17,1
12,0,0
-1,-22,1
14,-20,1
-7,-16,1
26,16,1
-24,17,1
25,-14,1
12,-40,1
-9,-25,1
-38,-5,1
-7,39,1
-7,0,0
-16,-4,1
13,2,1
0,-9,1
-12,0,1
10,-13,1
17,-12,1
7,0,0
0,-32,1
-2,0,0
-20,-11,1
-7,0,0
-34,-26,1
5,6,1
8,38,1
-30,-14,1
5,-22,1
14,-19,1
-3,24,1
33,-28,1
-1,8,1
-21,0,0
-22,14,1
11,0,0
-14,26,1
-21,13,1
-28,10,1
25,-21,1
-2,0,0
-24,0,0
-12,0,0
-6,0,0
2,-36,1
-22,-23,1
-22,0,0
5,0,0
5,11,1
6,0,0
11,12,1
-6,0,0
-10,16,1
-22,-33,1
-8,3,1
-12,-18,1
13,-3,1
-3,22,1
22,-65,1
-7,0,0
8,17,1
1,17,1
-1,0,0
-9,0,0
-19,-28,1
24,0,0
-9,14,1
16,17,1
-9,27,1
3,0,0
-14,39,1
28,-10,1
0,0,0
2,0,0
25,0,0
4,20,1
-14,0,0
-7,-36,1
-22,9,1
-31,-12,1
4,0,0
-6,-7,1
-41,-3,1
-36,-2,1
-1,0,0
17,24,1
-16,5,1
13,-20,1
-22,-3,1
-5,16,1
16,0,0
-29,5,1
-6,-36,1
-21,0,0
-33,7,1
-25,34,1
10,0,0
-13,-5,1
22,3,1
-24,-25,1
-3,0,0
11,19,1
-9,0,0
-4,6,1
-22,0,0
-2,0,0
-19,-12,1
35,-19,1
-8,0,0
6,16,1
9,-6,1
-20,0,0
-13,35,1
-10,0,0
32,-24,1
35,0,0
37,-20,1
5,0,0
11,38,1
-6,-31,1
17,-28,1
-3,0,0
-1,-1,1
-4,-40,1
19,0,0
10,0,0
-17,-14,1
-15,6,1
15,0,1
41,1,1
-21,-7,1
21,0,0
0,-21,1
14,-20,1
-13,-9,1
2,-9,1
13,39,1
-24,-19,1
10,0,0
-2,0,0
13,9,1
6,14,1
2,0,0
-3,-27,1
5,10,1
-21,-31,1
-8,0,0
-18,0,1
-12,23,1
9,1,1
2,32,1
-12,-18,1
5,27,1
20,29,1
15,-11,1
-23,5,1
32,22,1
-10,35,1
9,-22,1
0,-41,1
-26,13,1
-23,-12,1
-7,28,1
-10,16,1
4,25,1
27,-19,1
-38,-11,1
3,9,1
24,-19,1
-21,-11,1
23,1,1
7,-18,1
-19,-28,1
26,0,0
17,-15,1
34,5,1
-12,-3,1
25,6,1
11,0,0
13,0,1
-10,-18,1
7,-23,1
18,-18,1
-3,-3,1
4,23,1
-12,-3,1
-31,22,1
-1,0,0
-3,-6,1
10,-30,1
-9,-36,1
-37,-1,1
-27,14,1
-4,-43,1
32,19,1
-27,12,1
4,-18,1
39,-12,1
-40,-17,1
-4,-17,1
-8,-2,1
18,-18,1
-27,-16,1
-11,40,1
5,58,1
-40,22,1
29,-17,1
-6,-7,1
0,0,0
1,-9,1
-7,-10,1
-34,28,1
0,0,0
-7,0,0
-33,6,1
23,0,0
38,-13,1
18,-17,1
6,-7,1
1,-3,1
8,17,1
-25,24,1
25,0,0
28,4,1
0,0,0
18,33,1
4,0,0
-20,27,1
-9,-19,1
15,0,0
27,-12,1
4,0,0
-13,-8,1
1,0,0
0,10,1
33,26,1
-17,8,1
-36,5,1
11,0,0
5,-9,1
-18,5,1
-21,0,0
-13,0,0
-13,0,0
-46,-9,1
31,-16,1
11,-45,1
-29,-8,1
-26,-24,1
19,-9,1
-15,11,1
18,-31,1
5,17,1
-21,27,1
39,-5,1
22,31,1
2,9,1
-9,-13,1
-3,0,0
3,29,1
-9,-29,1
7,-15,1
-7,5,1
22,15,1
-5,-9,1
-17,-26,1
18,5,1
-3,3,1
-11,0,0
13,-22,1
-12,-4,1
-8,24,1
28,11,1
-9,0,1
-17,-9,1
16,0,0
8,0,0
-53,11,1
-13,0,0
-4,-15,1
-12,8,1
-10,-14,1
-5,0,1
7,0,1
44,16,1
-5,-1,1
30,-35,1
-11,17,1
-3,18,1
-11,-3,1
2,32,1
-11,-5,1
20,11,1
-21,0,0
27,22,1
3,18,1
35,23,1
-34,0,1
-8,25,1
-21,6,1
-8,0,0
21,0,0
-18,-10,1
-19,0,0
14,0,0
2,-42,1
-8,4,1
15,0,0
5,-24,1
8,0,0
-12,29,1
-21,-22,1
-16,22,1
-23,-48,1
3,0,0
16,-4,1
0,14,1
0,-17,1
-13,2,1
-6,17,1
9,0,0
-41,0,0
19,-40,1
-27,-31,1
-9,-4,1
20,12,1
2,9,1
-36,-41,1
-4,0,0
-14,-7,1
-4,-38,1
-16,10,1
-14,-11,1
20,-7,1
-33,-11,1
3,-2,1
-2,0,0
-6,24,1
3,-3,1
20,-6,1
33,12,1
-13,0,0
-9,-22,1
41,17,1
18,0,0
21,26,1
3,0,1
10,25,1
-10,-17,1
-27,3,1
1,16,1
32,-39,1
-20,-19,1
29,1,1
14,-14,1
-7,0,0
-9,0,1
-4,-29,1
16,-21,1
30,-22,1
-23,0,1
-16,0,0
28,-6,1
-28,-4,1
24,-7,1
14,30,1
-1,-10,1
24,23,1
14,0,0
14,-28,1
16,-8,1
-16,-14,1
1,24,1
-16,27,1
11,-9,1
0,10,1
-23,-11,1
3,22,1
-10,13,1
-7,-1,1
-28,-17,1
-18,33,1
13,0,0
-6,48,1
3,0,0
-16,-23,1
-30,8,1
-10,37,1
16,-25,1
-16,0,0
60,18,1
12,2,1
4,0,0
5,-28,1
-18,-17,1
5,14,1
21,19,1
33,23,1
-43,0,1
-5,-4,1
11,10,1
-5,-3,1
-34,-32,1
50,14,1
-3,1,1
-5,-7,1
30,-7,1
-54,-25,1
18,0,0
21,8,1
5,25,1
0,28,1
-12,3,1
4,13,1
-16,-24,1
9,0,0
22,0,0
7,0,0
-15,3,1
-11,-13,1
50,0,1
-14,-25,1
3,19,1
10,0,0
7,-4,1
7,38,1
-26,0,1
19,-4,1
-3,-3,1
-5,-9,1
9,-6,1
-1,-24,1
20,-9,1
-17,-4,1
-21,18,1
24,-27,1
1,8,1
-3,0,0
4,12,1
4,0,1
39,8,1
5,-1,1
-21,9,1
-18,-26,1
13,10,1
34,12,1
8,17,1
7,-5,1
-10,25,1
17,0,0
5,-5,1
11,11,1
14,0,1
-14,-30,1
-20,-2,1
-11,10,1
-28,19,1
-18,14,1
-19,0,0
-19,0,1
-2,18,1
2,23,1
4,-10,1
-11,-17,1
0,0,0
8,0,0
10,-27,1
-28,-26,1
-3,40,1
-10,-11,1
-21,0,0
-31,-13,1
4,0,0
10,-15,1
9,-11,1
23,-14,1
-15,0,0
-9,0,0
-9,21,1
-19,14,1
3,0,0
7,0,0
22,26,1
8,8,1
23,30,1
-13,0,0
-16,0,0
14,-20,1
-16,-11,1
34,24,1
-44,20,1
-8,0,0
33,27,1
-32,-22,1
36,33,1
5,0,0
-17,-13,1
12,0,0
2,8,1
14,11,1
42,-33,1
-12,-10,1
-3,24,1
2,45,1
7,-19,1
-31,28,1
-46,-5,1
18,18,1
-21,0,0
-18,0,0
12,-34,1
